number,season,episode,airdate,title,tvmaze_link
1,1,1,04 Aug 05,"The Gang Gets Racist","https://www.tvmaze.com/episodes/32531/its-always-sunny-in-philadelphia-1x01-the-gang-gets-racist"
2,1,2,11 Aug 05,"Charlie Wants an Abortion","https://www.tvmaze.com/episodes/32532/its-always-sunny-in-philadelphia-1x02-charlie-wants-an-abortion"
3,1,3,16 Aug 05,"Underage Drinking: A National Concern","https://www.tvmaze.com/episodes/32533/its-always-sunny-in-philadelphia-1x03-underage-drinking-a-national-concern"
4,1,4,23 Aug 05,"Charlie Has Cancer","https://www.tvmaze.com/episodes/32534/its-always-sunny-in-philadelphia-1x04-charlie-has-cancer"
5,1,5,30 Aug 05,"Gun Fever","https://www.tvmaze.com/episodes/32535/its-always-sunny-in-philadelphia-1x05-gun-fever"
6,1,6,06 Sep 05,"The Gang Finds a Dead Guy","https://www.tvmaze.com/episodes/32536/its-always-sunny-in-philadelphia-1x06-the-gang-finds-a-dead-guy"
7,1,7,13 Sep 05,"Charlie Got Molested","https://www.tvmaze.com/episodes/32537/its-always-sunny-in-philadelphia-1x07-charlie-got-molested"
8,2,1,29 Jun 06,"Charlie Gets Crippled","https://www.tvmaze.com/episodes/32538/its-always-sunny-in-philadelphia-2x01-charlie-gets-crippled"
9,2,2,29 Jun 06,"The Gang Goes Jihad","https://www.tvmaze.com/episodes/32539/its-always-sunny-in-philadelphia-2x02-the-gang-goes-jihad"
10,2,3,06 Jul 06,"Dennis and Dee Go on Welfare","https://www.tvmaze.com/episodes/32540/its-always-sunny-in-philadelphia-2x03-dennis-and-dee-go-on-welfare"
11,2,4,06 Jul 06,"Mac Bangs Dennis' Mom","https://www.tvmaze.com/episodes/32541/its-always-sunny-in-philadelphia-2x04-mac-bangs-dennis-mom"
12,2,5,13 Jul 06,"Hundred Dollar Baby","https://www.tvmaze.com/episodes/32542/its-always-sunny-in-philadelphia-2x05-hundred-dollar-baby"
13,2,6,20 Jul 06,"The Gang Gives Back","https://www.tvmaze.com/episodes/32543/its-always-sunny-in-philadelphia-2x06-the-gang-gives-back"
14,2,7,27 Jul 06,"The Gang Exploits a Miracle","https://www.tvmaze.com/episodes/32544/its-always-sunny-in-philadelphia-2x07-the-gang-exploits-a-miracle"
15,2,8,03 Aug 06,"The Gang Runs for Office","https://www.tvmaze.com/episodes/32545/its-always-sunny-in-philadelphia-2x08-the-gang-runs-for-office"
16,2,9,10 Aug 06,"Charlie Goes America All Over Everybody's Ass","https://www.tvmaze.com/episodes/32546/its-always-sunny-in-philadelphia-2x09-charlie-goes-america-all-over-everybodys-ass"
17,2,10,17 Aug 06,"Dennis and Dee Get a New Dad","https://www.tvmaze.com/episodes/32547/its-always-sunny-in-philadelphia-2x10-dennis-and-dee-get-a-new-dad"
18,3,1,13 Sep 07,"The Gang Finds a Dumpster Baby","https://www.tvmaze.com/episodes/32548/its-always-sunny-in-philadelphia-3x01-the-gang-finds-a-dumpster-baby"
19,3,2,13 Sep 07,"The Gang Gets Invincible","https://www.tvmaze.com/episodes/32549/its-always-sunny-in-philadelphia-3x02-the-gang-gets-invincible"
20,3,3,20 Sep 07,"Dennis and Dee's Mom is Dead","https://www.tvmaze.com/episodes/32550/its-always-sunny-in-philadelphia-3x03-dennis-and-dees-mom-is-dead"
21,3,4,20 Sep 07,"The Gang Gets Held Hostage","https://www.tvmaze.com/episodes/32551/its-always-sunny-in-philadelphia-3x04-the-gang-gets-held-hostage"
22,3,5,27 Sep 07,"The Aluminum Monster vs. Fatty Magoo","https://www.tvmaze.com/episodes/32552/its-always-sunny-in-philadelphia-3x05-the-aluminum-monster-vs-fatty-magoo"
23,3,6,27 Sep 07,"The Gang Solves the North Korea Situation","https://www.tvmaze.com/episodes/32553/its-always-sunny-in-philadelphia-3x06-the-gang-solves-the-north-korea-situation"
24,3,7,04 Oct 07,"The Gang Sells Out","https://www.tvmaze.com/episodes/32554/its-always-sunny-in-philadelphia-3x07-the-gang-sells-out"
25,3,8,04 Oct 07,"Frank Sets Sweet Dee on Fire","https://www.tvmaze.com/episodes/32555/its-always-sunny-in-philadelphia-3x08-frank-sets-sweet-dee-on-fire"
26,3,9,11 Oct 07,"Sweet Dee's Dating a Retarded Person","https://www.tvmaze.com/episodes/32556/its-always-sunny-in-philadelphia-3x09-sweet-dees-dating-a-retarded-person"
27,3,10,18 Oct 07,"Mac is a Serial Killer","https://www.tvmaze.com/episodes/32557/its-always-sunny-in-philadelphia-3x10-mac-is-a-serial-killer"
28,3,11,25 Oct 07,"Dennis Looks Like a Registered Sex Offender","https://www.tvmaze.com/episodes/32558/its-always-sunny-in-philadelphia-3x11-dennis-looks-like-a-registered-sex-offender"
29,3,12,01 Nov 07,"The Gang Gets Whacked: Part 1","https://www.tvmaze.com/episodes/32559/its-always-sunny-in-philadelphia-3x12-the-gang-gets-whacked-part-1"
30,3,13,01 Nov 07,"The Gang Gets Whacked: Part 2","https://www.tvmaze.com/episodes/32560/its-always-sunny-in-philadelphia-3x13-the-gang-gets-whacked-part-2"
31,3,14,08 Nov 07,"Bums: Making a Mess All Over the City","https://www.tvmaze.com/episodes/32561/its-always-sunny-in-philadelphia-3x14-bums-making-a-mess-all-over-the-city"
32,3,15,15 Nov 07,"The Gang Dances Their Asses Off","https://www.tvmaze.com/episodes/32562/its-always-sunny-in-philadelphia-3x15-the-gang-dances-their-asses-off"
33,4,1,18 Sep 08,"Mac and Dennis: Manhunters","https://www.tvmaze.com/episodes/32563/its-always-sunny-in-philadelphia-4x01-mac-and-dennis-manhunters"
34,4,2,18 Sep 08,"The Gang Solves the Gas Crisis","https://www.tvmaze.com/episodes/32564/its-always-sunny-in-philadelphia-4x02-the-gang-solves-the-gas-crisis"
35,4,3,25 Sep 08,"America's Next Top Paddy's Billboard Model Contest","https://www.tvmaze.com/episodes/32565/its-always-sunny-in-philadelphia-4x03-americas-next-top-paddys-billboard-model-contest"
36,4,4,25 Sep 08,"Mac's Banging the Waitress","https://www.tvmaze.com/episodes/32566/its-always-sunny-in-philadelphia-4x04-macs-banging-the-waitress"
37,4,5,02 Oct 08,"Mac and Charlie Die","https://www.tvmaze.com/episodes/32567/its-always-sunny-in-philadelphia-4x05-mac-and-charlie-die"
38,4,6,02 Oct 08,"Mac and Charlie Die Part 2","https://www.tvmaze.com/episodes/32568/its-always-sunny-in-philadelphia-4x06-mac-and-charlie-die-part-2"
39,4,7,09 Oct 08,"Who Pooped the Bed?","https://www.tvmaze.com/episodes/32569/its-always-sunny-in-philadelphia-4x07-who-pooped-the-bed"
40,4,8,16 Oct 08,"Paddy's Pub: The Worst Bar in Philadelphia","https://www.tvmaze.com/episodes/32570/its-always-sunny-in-philadelphia-4x08-paddys-pub-the-worst-bar-in-philadelphia"
41,4,9,23 Oct 08,"Dennis Reynolds: An Erotic Life","https://www.tvmaze.com/episodes/32571/its-always-sunny-in-philadelphia-4x09-dennis-reynolds-an-erotic-life"
42,4,10,30 Oct 08,"Sweet Dee Has a Heart Attack","https://www.tvmaze.com/episodes/32572/its-always-sunny-in-philadelphia-4x10-sweet-dee-has-a-heart-attack"
43,4,11,06 Nov 08,"The Gang Cracks the Liberty Bell","https://www.tvmaze.com/episodes/32573/its-always-sunny-in-philadelphia-4x11-the-gang-cracks-the-liberty-bell"
44,4,12,13 Nov 08,"The Gang Gets Extreme: Home Makeover Edition","https://www.tvmaze.com/episodes/32574/its-always-sunny-in-philadelphia-4x12-the-gang-gets-extreme-home-makeover-edition"
45,4,13,20 Nov 08,"The Nightman Cometh","https://www.tvmaze.com/episodes/32575/its-always-sunny-in-philadelphia-4x13-the-nightman-cometh"
46,5,1,17 Sep 09,"The Gang Exploits the Mortgage Crisis","https://www.tvmaze.com/episodes/32576/its-always-sunny-in-philadelphia-5x01-the-gang-exploits-the-mortgage-crisis"
47,5,2,24 Sep 09,"The Gang Hits the Road","https://www.tvmaze.com/episodes/32577/its-always-sunny-in-philadelphia-5x02-the-gang-hits-the-road"
48,5,3,01 Oct 09,"The Great Recession","https://www.tvmaze.com/episodes/32578/its-always-sunny-in-philadelphia-5x03-the-great-recession"
49,5,4,08 Oct 09,"The Gang Gives Frank an Intervention","https://www.tvmaze.com/episodes/32579/its-always-sunny-in-philadelphia-5x04-the-gang-gives-frank-an-intervention"
50,5,5,15 Oct 09,"The Waitress is Getting Married","https://www.tvmaze.com/episodes/32580/its-always-sunny-in-philadelphia-5x05-the-waitress-is-getting-married"
51,5,6,22 Oct 09,"The World Series Defense","https://www.tvmaze.com/episodes/32581/its-always-sunny-in-philadelphia-5x06-the-world-series-defense"
52,5,7,29 Oct 09,"The Gang Wrestles for the Troops","https://www.tvmaze.com/episodes/32582/its-always-sunny-in-philadelphia-5x07-the-gang-wrestles-for-the-troops"
53,5,8,05 Nov 09,"Paddy's Pub: Home of the Original Kitten Mittens","https://www.tvmaze.com/episodes/32583/its-always-sunny-in-philadelphia-5x08-paddys-pub-home-of-the-original-kitten-mittens"
54,5,9,12 Nov 09,"Mac and Dennis Break Up","https://www.tvmaze.com/episodes/32584/its-always-sunny-in-philadelphia-5x09-mac-and-dennis-break-up"
55,5,10,19 Nov 09,"The D.E.N.N.I.S. System","https://www.tvmaze.com/episodes/32585/its-always-sunny-in-philadelphia-5x10-the-dennis-system"
56,5,11,03 Dec 09,"Mac and Charlie Write a Movie","https://www.tvmaze.com/episodes/32586/its-always-sunny-in-philadelphia-5x11-mac-and-charlie-write-a-movie"
57,5,12,10 Dec 09,"The Gang Reignites the Rivalry","https://www.tvmaze.com/episodes/32587/its-always-sunny-in-philadelphia-5x12-the-gang-reignites-the-rivalry"
58,6,1,16 Sep 10,"Mac Fights Gay Marriage","https://www.tvmaze.com/episodes/32588/its-always-sunny-in-philadelphia-6x01-mac-fights-gay-marriage"
59,6,2,23 Sep 10,"Dennis Gets Divorced","https://www.tvmaze.com/episodes/32589/its-always-sunny-in-philadelphia-6x02-dennis-gets-divorced"
60,6,3,30 Sep 10,"The Gang Buys a Boat","https://www.tvmaze.com/episodes/32590/its-always-sunny-in-philadelphia-6x03-the-gang-buys-a-boat"
61,6,4,07 Oct 10,"Mac's Big Break","https://www.tvmaze.com/episodes/32591/its-always-sunny-in-philadelphia-6x04-macs-big-break"
62,6,5,14 Oct 10,"Mac and Charlie: White Trash","https://www.tvmaze.com/episodes/32592/its-always-sunny-in-philadelphia-6x05-mac-and-charlie-white-trash"
63,6,6,21 Oct 10,"Mac's Mom Burns Her House Down","https://www.tvmaze.com/episodes/32593/its-always-sunny-in-philadelphia-6x06-macs-mom-burns-her-house-down"
64,6,7,28 Oct 10,"Who Got Dee Pregnant?","https://www.tvmaze.com/episodes/32594/its-always-sunny-in-philadelphia-6x07-who-got-dee-pregnant"
65,6,8,04 Nov 10,"The Gang Gets a New Member","https://www.tvmaze.com/episodes/32595/its-always-sunny-in-philadelphia-6x08-the-gang-gets-a-new-member"
66,6,9,11 Nov 10,"Dee Reynolds: Shaping America's Youth","https://www.tvmaze.com/episodes/32596/its-always-sunny-in-philadelphia-6x09-dee-reynolds-shaping-americas-youth"
67,6,10,18 Nov 10,"Charlie Kelly: King of the Rats","https://www.tvmaze.com/episodes/32597/its-always-sunny-in-philadelphia-6x10-charlie-kelly-king-of-the-rats"
68,6,11,02 Dec 10,"The Gang Gets Stranded in the Woods","https://www.tvmaze.com/episodes/32598/its-always-sunny-in-philadelphia-6x11-the-gang-gets-stranded-in-the-woods"
69,6,12,09 Dec 10,"Dee Gives Birth","https://www.tvmaze.com/episodes/32599/its-always-sunny-in-philadelphia-6x12-dee-gives-birth"
70,6,13,16 Dec 10,"A Very Sunny Christmas (60 min)","https://www.tvmaze.com/episodes/32600/its-always-sunny-in-philadelphia-6x13-a-very-sunny-christmas"
71,7,1,15 Sep 11,"Frank's Pretty Woman","https://www.tvmaze.com/episodes/32601/its-always-sunny-in-philadelphia-7x01-franks-pretty-woman"
72,7,2,22 Sep 11,"The Gang Goes to the Jersey Shore","https://www.tvmaze.com/episodes/32602/its-always-sunny-in-philadelphia-7x02-the-gang-goes-to-the-jersey-shore"
73,7,3,29 Sep 11,"Frank Reynolds' Little Beauties","https://www.tvmaze.com/episodes/32603/its-always-sunny-in-philadelphia-7x03-frank-reynolds-little-beauties"
74,7,4,06 Oct 11,"Sweet Dee Gets Audited","https://www.tvmaze.com/episodes/32604/its-always-sunny-in-philadelphia-7x04-sweet-dee-gets-audited"
75,7,5,13 Oct 11,"Frank's Brother","https://www.tvmaze.com/episodes/32605/its-always-sunny-in-philadelphia-7x05-franks-brother"
76,7,6,20 Oct 11,"The Storm of the Century","https://www.tvmaze.com/episodes/32606/its-always-sunny-in-philadelphia-7x06-the-storm-of-the-century"
77,7,7,27 Oct 11,"Chardee MacDennis: The Game of Games","https://www.tvmaze.com/episodes/32607/its-always-sunny-in-philadelphia-7x07-chardee-macdennis-the-game-of-games"
78,7,8,03 Nov 11,"The ANTI-Social Network","https://www.tvmaze.com/episodes/32608/its-always-sunny-in-philadelphia-7x08-the-anti-social-network"
79,7,9,10 Nov 11,"The Gang Gets Trapped","https://www.tvmaze.com/episodes/32609/its-always-sunny-in-philadelphia-7x09-the-gang-gets-trapped"
80,7,10,17 Nov 11,"How Mac Got Fat","https://www.tvmaze.com/episodes/32610/its-always-sunny-in-philadelphia-7x10-how-mac-got-fat"
81,7,11,01 Dec 11,"Thunder Gun Express","https://www.tvmaze.com/episodes/32611/its-always-sunny-in-philadelphia-7x11-thunder-gun-express"
82,7,12,08 Dec 11,"The High School Reunion","https://www.tvmaze.com/episodes/32612/its-always-sunny-in-philadelphia-7x12-the-high-school-reunion"
83,7,13,15 Dec 11,"The High School Reunion Part 2: The Gang's Revenge","https://www.tvmaze.com/episodes/32613/its-always-sunny-in-philadelphia-7x13-the-high-school-reunion-part-2-the-gangs-revenge"
84,8,1,11 Oct 12,"Pop-Pop: The Final Solution","https://www.tvmaze.com/episodes/32614/its-always-sunny-in-philadelphia-8x01-pop-pop-the-final-solution"
85,8,2,18 Oct 12,"The Gang Recycles Their Trash","https://www.tvmaze.com/episodes/32615/its-always-sunny-in-philadelphia-8x02-the-gang-recycles-their-trash"
86,8,3,25 Oct 12,"The Maureen Ponderosa Wedding Massacre","https://www.tvmaze.com/episodes/32616/its-always-sunny-in-philadelphia-8x03-the-maureen-ponderosa-wedding-massacre"
87,8,4,01 Nov 12,"Charlie and Dee Find Love","https://www.tvmaze.com/episodes/32617/its-always-sunny-in-philadelphia-8x04-charlie-and-dee-find-love"
88,8,5,08 Nov 12,"The Gang Gets Analyzed","https://www.tvmaze.com/episodes/32618/its-always-sunny-in-philadelphia-8x05-the-gang-gets-analyzed"
89,8,6,15 Nov 12,"Charlie's Mom Has Cancer","https://www.tvmaze.com/episodes/32619/its-always-sunny-in-philadelphia-8x06-charlies-mom-has-cancer"
90,8,7,29 Nov 12,"Frank's Back in Business","https://www.tvmaze.com/episodes/32620/its-always-sunny-in-philadelphia-8x07-franks-back-in-business"
91,8,8,06 Dec 12,"Charlie Rules the World","https://www.tvmaze.com/episodes/32621/its-always-sunny-in-philadelphia-8x08-charlie-rules-the-world"
92,8,9,13 Dec 12,"The Gang Dines Out","https://www.tvmaze.com/episodes/32622/its-always-sunny-in-philadelphia-8x09-the-gang-dines-out"
93,8,10,20 Dec 12,"Reynolds vs. Reynolds: The Cereal Defense","https://www.tvmaze.com/episodes/32623/its-always-sunny-in-philadelphia-8x10-reynolds-vs-reynolds-the-cereal-defense"
94,9,1,04 Sep 13,"The Gang Broke Dee","https://www.tvmaze.com/episodes/32624/its-always-sunny-in-philadelphia-9x01-the-gang-broke-dee"
95,9,2,11 Sep 13,"Gun Fever Too: Still Hot","https://www.tvmaze.com/episodes/32625/its-always-sunny-in-philadelphia-9x02-gun-fever-too-still-hot"
96,9,3,18 Sep 13,"The Gang Tries Desperately to Win an Award","https://www.tvmaze.com/episodes/32626/its-always-sunny-in-philadelphia-9x03-the-gang-tries-desperately-to-win-an-award"
97,9,4,25 Sep 13,"Mac and Dennis Buy a Timeshare","https://www.tvmaze.com/episodes/32627/its-always-sunny-in-philadelphia-9x04-mac-and-dennis-buy-a-timeshare"
98,9,5,02 Oct 13,"Mac Day","https://www.tvmaze.com/episodes/32628/its-always-sunny-in-philadelphia-9x05-mac-day"
99,9,6,09 Oct 13,"The Gang Saves the Day","https://www.tvmaze.com/episodes/32629/its-always-sunny-in-philadelphia-9x06-the-gang-saves-the-day"
100,9,7,16 Oct 13,"The Gang Gets Quarantined","https://www.tvmaze.com/episodes/32630/its-always-sunny-in-philadelphia-9x07-the-gang-gets-quarantined"
101,9,8,23 Oct 13,"Flowers for Charlie","https://www.tvmaze.com/episodes/32631/its-always-sunny-in-philadelphia-9x08-flowers-for-charlie"
102,9,9,30 Oct 13,"The Gang Makes Lethal Weapon 6","https://www.tvmaze.com/episodes/32632/its-always-sunny-in-philadelphia-9x09-the-gang-makes-lethal-weapon-6"
103,9,10,06 Nov 13,"The Gang Squashes Their Beefs","https://www.tvmaze.com/episodes/32633/its-always-sunny-in-philadelphia-9x10-the-gang-squashes-their-beefs"
104,10,1,14 Jan 15,"The Gang Beats Boggs","https://www.tvmaze.com/episodes/92029/its-always-sunny-in-philadelphia-10x01-the-gang-beats-boggs"
105,10,2,21 Jan 15,"The Gang Group Dates","https://www.tvmaze.com/episodes/101854/its-always-sunny-in-philadelphia-10x02-the-gang-group-dates"
106,10,3,28 Jan 15,"Psycho Pete Returns","https://www.tvmaze.com/episodes/102468/its-always-sunny-in-philadelphia-10x03-psycho-pete-returns"
107,10,4,04 Feb 15,"Charlie Work","https://www.tvmaze.com/episodes/102469/its-always-sunny-in-philadelphia-10x04-charlie-work"
108,10,5,11 Feb 15,"The Gang Spies Like U.S.","https://www.tvmaze.com/episodes/102470/its-always-sunny-in-philadelphia-10x05-the-gang-spies-like-us"
109,10,6,18 Feb 15,"The Gang Misses the Boat","https://www.tvmaze.com/episodes/102471/its-always-sunny-in-philadelphia-10x06-the-gang-misses-the-boat"
110,10,7,25 Feb 15,"Mac Kills His Dad","https://www.tvmaze.com/episodes/102472/its-always-sunny-in-philadelphia-10x07-mac-kills-his-dad"
111,10,8,04 Mar 15,"The Gang Goes on Family Fight","https://www.tvmaze.com/episodes/102473/its-always-sunny-in-philadelphia-10x08-the-gang-goes-on-family-fight"
112,10,9,11 Mar 15,"Frank Retires","https://www.tvmaze.com/episodes/102474/its-always-sunny-in-philadelphia-10x09-frank-retires"
113,10,10,18 Mar 15,"Ass Kickers United: Mac and Charlie Join a Cult","https://www.tvmaze.com/episodes/140774/its-always-sunny-in-philadelphia-10x10-ass-kickers-united-mac-and-charlie-join-a-cult"
114,11,1,06 Jan 16,"Chardee MacDennis 2: Electric Boogaloo","https://www.tvmaze.com/episodes/541980/its-always-sunny-in-philadelphia-11x01-chardee-macdennis-2-electric-boogaloo"
115,11,2,13 Jan 16,"Frank Falls Out the Window","https://www.tvmaze.com/episodes/541981/its-always-sunny-in-philadelphia-11x02-frank-falls-out-the-window"
116,11,3,20 Jan 16,"The Gang Hits the Slopes","https://www.tvmaze.com/episodes/541982/its-always-sunny-in-philadelphia-11x03-the-gang-hits-the-slopes"
117,11,4,27 Jan 16,"Dee Made a Smut Film","https://www.tvmaze.com/episodes/541983/its-always-sunny-in-philadelphia-11x04-dee-made-a-smut-film"
118,11,5,03 Feb 16,"Mac & Dennis Move to the Suburbs","https://www.tvmaze.com/episodes/552215/its-always-sunny-in-philadelphia-11x05-mac-dennis-move-to-the-suburbs"
119,11,6,10 Feb 16,"Being Frank","https://www.tvmaze.com/episodes/552216/its-always-sunny-in-philadelphia-11x06-being-frank"
120,11,7,17 Feb 16,"McPoyle vs. Ponderosa: The Trial of the Century","https://www.tvmaze.com/episodes/552217/its-always-sunny-in-philadelphia-11x07-mcpoyle-vs-ponderosa-the-trial-of-the-century"
121,11,8,24 Feb 16,"Charlie Catches a Leprechaun","https://www.tvmaze.com/episodes/552218/its-always-sunny-in-philadelphia-11x08-charlie-catches-a-leprechaun"
122,11,9,02 Mar 16,"The Gang Goes to Hell: Part 1","https://www.tvmaze.com/episodes/552219/its-always-sunny-in-philadelphia-11x09-the-gang-goes-to-hell-part-1"
123,11,10,09 Mar 16,"The Gang Goes to Hell: Part 2","https://www.tvmaze.com/episodes/552220/its-always-sunny-in-philadelphia-11x10-the-gang-goes-to-hell-part-2"
124,12,1,04 Jan 17,"The Gang Turns Black","https://www.tvmaze.com/episodes/982770/its-always-sunny-in-philadelphia-12x01-the-gang-turns-black"
125,12,2,11 Jan 17,"The Gang Goes to a Water Park","https://www.tvmaze.com/episodes/1009073/its-always-sunny-in-philadelphia-12x02-the-gang-goes-to-a-water-park"
126,12,3,18 Jan 17,"Old Lady House: A Situation Comedy","https://www.tvmaze.com/episodes/1009074/its-always-sunny-in-philadelphia-12x03-old-lady-house-a-situation-comedy"
127,12,4,25 Jan 17,"Wolf Cola: A Public Relations Nightmare","https://www.tvmaze.com/episodes/1009075/its-always-sunny-in-philadelphia-12x04-wolf-cola-a-public-relations-nightmare"
128,12,5,01 Feb 17,"Making Dennis Reynolds a Murderer","https://www.tvmaze.com/episodes/1019138/its-always-sunny-in-philadelphia-12x05-making-dennis-reynolds-a-murderer"
129,12,6,08 Feb 17,"Hero or Hate Crime?","https://www.tvmaze.com/episodes/1019139/its-always-sunny-in-philadelphia-12x06-hero-or-hate-crime"
130,12,7,15 Feb 17,"PTSDee","https://www.tvmaze.com/episodes/1019140/its-always-sunny-in-philadelphia-12x07-ptsdee"
131,12,8,22 Feb 17,"The Gang Tends Bar","https://www.tvmaze.com/episodes/1019141/its-always-sunny-in-philadelphia-12x08-the-gang-tends-bar"
132,12,9,01 Mar 17,"A Cricket's Tale","https://www.tvmaze.com/episodes/1019142/its-always-sunny-in-philadelphia-12x09-a-crickets-tale"
133,12,10,08 Mar 17,"Dennis' Double Life","https://www.tvmaze.com/episodes/1019143/its-always-sunny-in-philadelphia-12x10-dennis-double-life"
134,13,1,05 Sep 18,"The Gang Makes Paddy's Great Again","https://www.tvmaze.com/episodes/1486725/its-always-sunny-in-philadelphia-13x01-the-gang-makes-paddys-great-again"
135,13,2,12 Sep 18,"The Gang Escapes","https://www.tvmaze.com/episodes/1519183/its-always-sunny-in-philadelphia-13x02-the-gang-escapes"
136,13,3,19 Sep 18,"The Gang Beats Boggs: Ladies Reboot","https://www.tvmaze.com/episodes/1519871/its-always-sunny-in-philadelphia-13x03-the-gang-beats-boggs-ladies-reboot"
137,13,4,26 Sep 18,"Time's Up for the Gang","https://www.tvmaze.com/episodes/1519872/its-always-sunny-in-philadelphia-13x04-times-up-for-the-gang"
138,13,5,03 Oct 18,"The Gang Gets New Wheels","https://www.tvmaze.com/episodes/1525020/its-always-sunny-in-philadelphia-13x05-the-gang-gets-new-wheels"
139,13,6,10 Oct 18,"The Gang Solves the Bathroom Problem","https://www.tvmaze.com/episodes/1528563/its-always-sunny-in-philadelphia-13x06-the-gang-solves-the-bathroom-problem"
140,13,7,17 Oct 18,"The Gang Does a Clip Show","https://www.tvmaze.com/episodes/1532573/its-always-sunny-in-philadelphia-13x07-the-gang-does-a-clip-show"
141,13,8,24 Oct 18,"Charlie's Home Alone","https://www.tvmaze.com/episodes/1537756/its-always-sunny-in-philadelphia-13x08-charlies-home-alone"
142,13,9,31 Oct 18,"The Gang Wins the Big Game","https://www.tvmaze.com/episodes/1537757/its-always-sunny-in-philadelphia-13x09-the-gang-wins-the-big-game"
143,13,10,07 Nov 18,"Mac Finds His Pride","https://www.tvmaze.com/episodes/1537782/its-always-sunny-in-philadelphia-13x10-mac-finds-his-pride"
144,14,1,25 Sep 19,"The Gang Gets Romantic","https://www.tvmaze.com/episodes/1674515/its-always-sunny-in-philadelphia-14x01-the-gang-gets-romantic"
145,14,2,02 Oct 19,"Thunder Gun 4: Maximum Cool","https://www.tvmaze.com/episodes/1701017/its-always-sunny-in-philadelphia-14x02-thunder-gun-4-maximum-cool"
146,14,3,09 Oct 19,"Dee Day","https://www.tvmaze.com/episodes/1701018/its-always-sunny-in-philadelphia-14x03-dee-day"
147,14,4,16 Oct 19,"The Gang Chokes","https://www.tvmaze.com/episodes/1701019/its-always-sunny-in-philadelphia-14x04-the-gang-chokes"
148,14,5,23 Oct 19,"The Gang Texts","https://www.tvmaze.com/episodes/1701021/its-always-sunny-in-philadelphia-14x05-the-gang-texts"
149,14,6,30 Oct 19,"The Janitor Always Mops Twice","https://www.tvmaze.com/episodes/1701022/its-always-sunny-in-philadelphia-14x06-the-janitor-always-mops-twice"
150,14,7,06 Nov 19,"The Gang Solves Global Warming","https://www.tvmaze.com/episodes/1701023/its-always-sunny-in-philadelphia-14x07-the-gang-solves-global-warming"
151,14,8,13 Nov 19,"Paddy's Has a Jumper","https://www.tvmaze.com/episodes/1701025/its-always-sunny-in-philadelphia-14x08-paddys-has-a-jumper"
152,14,9,20 Nov 19,"A Woman's Right to Chop","https://www.tvmaze.com/episodes/1701024/its-always-sunny-in-philadelphia-14x09-a-womans-right-to-chop"
153,14,10,20 Nov 19,"Waiting for Big Mo","https://www.tvmaze.com/episodes/1701026/its-always-sunny-in-philadelphia-14x10-waiting-for-big-mo"
154,15,1,01 Dec 21,"2020: A Year in Review","https://www.tvmaze.com/episodes/2208803/its-always-sunny-in-philadelphia-15x01-2020-a-year-in-review"
155,15,2,01 Dec 21,"The Gang Makes Lethal Weapon 7","https://www.tvmaze.com/episodes/2208804/its-always-sunny-in-philadelphia-15x02-the-gang-makes-lethal-weapon-7"
156,15,3,08 Dec 21,"The Gang Buys a Roller Rink","https://www.tvmaze.com/episodes/2213098/its-always-sunny-in-philadelphia-15x03-the-gang-buys-a-roller-rink"
157,15,4,08 Dec 21,"The Gang Replaces Dee with a Monkey","https://www.tvmaze.com/episodes/2213099/its-always-sunny-in-philadelphia-15x04-the-gang-replaces-dee-with-a-monkey"
158,15,5,15 Dec 21,"The Gang Goes to Ireland","https://www.tvmaze.com/episodes/2216864/its-always-sunny-in-philadelphia-15x05-the-gang-goes-to-ireland"
159,15,6,15 Dec 21,"The Gang's Still in Ireland","https://www.tvmaze.com/episodes/2216865/its-always-sunny-in-philadelphia-15x06-the-gangs-still-in-ireland"
160,15,7,22 Dec 21,"Dee Sinks in a Bog","https://www.tvmaze.com/episodes/2219839/its-always-sunny-in-philadelphia-15x07-dee-sinks-in-a-bog"
161,15,8,22 Dec 21,"The Gang Carries a Corpse Up a Mountain","https://www.tvmaze.com/episodes/2219840/its-always-sunny-in-philadelphia-15x08-the-gang-carries-a-corpse-up-a-mountain"
